id;type;sku;name;unit;quantity
P-001;P;SKU-001;Цемент М400 25кг;шт;120
P-002;P;SKU-002;Пісок будівельний;т;18
W-001;W;WH-MAIN;Головний склад;Львів;0
P-003;P;SKU-003;Цегла червона;шт;4200
P-004;P;SKU-004;Фарба водоемульсійна 10л;шт;36
P-005;P;SKU-005;Шпаклівка фінішна;кг;250
W-002;W;WH-WEST;Західний регіональний склад;Рівне;0
P-006;P;SKU-006;Профіль CD-60;м;800
P-007;P;SKU-007;Саморізи 3.5x25;уп;140
P-008;P;SKU-008;Грунтовка глибокого проникнення;л;60
P-009;P;SKU-009;Плитка керамічна;м2;310
P-010;P;SKU-010;Клей плитковий;кг;540
P-011;P;SKU-011;Гіпсокартон 12.5мм;лист
P-012;P;SKU-012;Стрічка армуюча;м;багато
P-013;P;;Без артикулу;шт;10
